dog,condition,choice,test_trial_number,"first_trial_fam (1=yes, followed communicator)",first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider
1,FalseBelief,empty,9,1,no_displacement,blue,5,m,border_collie,1,LL,VS
2,TrueBelief,baited,7,1,displacement,brown,4,f,border_collie,1,LL,VS
3,TrueBelief,empty,7,1,displacement,blue,1,f,border_collie,1,LL,AE
4,FalseBelief,empty,7,1,no_displacement,brown,5,f,border_collie,1,LL,AE
5,TrueBelief,empty,7,1,displacement,brown,2,m,border_collie,1,LL,VS
6,TrueBelief,baited,7,1,no_displacement,blue,3,f,border_collie,1,LL,VS
7,FalseBelief,baited,7,1,displacement,brown,9,f,border_collie,1,LL,VS
8,FalseBelief,empty,9,1,no_displacement,brown,2,f,border_collie,1,LL,VS
9,FalseBelief,baited,9,1,displacement,blue,3,f,border_collie,1,LL,VS
10,TrueBelief,baited,7,1,no_displacement,brown,7,m,border_collie,1,VS,AE
11,FalseBelief,baited,7,1,displacement,blue,6,m,border_collie,1,LL,VS
12,FalseBelief,empty,7,1,displacement,brown,0.5,f,border_collie,1,LL,VS
13,FalseBelief,baited,7,1,no_displacement,blue,5,f,border_collie,1,LL,VS
14,TrueBelief,baited,9,1,displacement,blue,0.42,f,border_collie,1,LL,VS
15,TrueBelief,baited,7,1,no_displacement,brown,0.5,m,border_collie,1,LL,VS
16,TrueBelief,empty,7,1,no_displacement,brown,11,f,border_collie,1,VS,AE
17,TrueBelief,baited,7,1,no_displacement,blue,8,f,border_collie,1,LL,VS
18,FalseBelief,empty,7,1,displacement,blue,1,m,border_collie,1,LL,VS
19,TrueBelief,baited,7,1,no_displacement,blue,4,f,border_collie,1,LL,VS
20,FalseBelief,baited,7,1,no_displacement,blue,5,m,border_collie,1,LL,VS
21,TrueBelief,baited,9,0,displacement,brown,0.83,m,border_collie,1,LL,VS
22,TrueBelief,baited,7,1,displacement,blue,1,f,border_collie,1,LL,VS
23,FalseBelief,baited,7,1,displacement,brown,5,f,border_collie,1,LL,VS
24,FalseBelief,empty,7,1,no_displacement,blue,7,f,border_collie,1,LL,AE
25,TrueBelief,baited,9,1,displacement,brown,4,f,border_collie,1,LL,AE
26,TrueBelief,empty,9,1,displacement,blue,8,f,border_collie,1,LL,AE
27,FalseBelief,empty,7,1,displacement,brown,7,f,border_collie,1,LL,AE
28,TrueBelief,baited,9,1,no_displacement,brown,3,f,border_collie,1,LL,AE
29,FalseBelief,empty,9,1,no_displacement,brown,0.58,m,border_collie,1,LL,AE
30,TrueBelief,baited,7,1,displacement,blue,1,m,border_collie,1,LL,VS
31,FalseBelief,baited,7,1,no_displacement,blue,7,f,border_collie,1,LL,VS
32,FalseBelief,empty,7,1,no_displacement,brown,2,m,border_collie,1,LL,VS
33,FalseBelief,baited,7,1,displacement,brown,3,f,border_collie,1,LL,VS
34,TrueBelief,empty,9,1,no_displacement,blue,3,m,border_collie,1,LL,VS
35,FalseBelief,empty,9,1,displacement,blue,6,m,border_collie,1,LL,VS
36,TrueBelief,baited,9,1,no_displacement,brown,7,m,border_collie,1,LL,AE
37,TrueBelief,empty,7,1,no_displacement,blue,12,f,border_collie,1,LL,VS
38,FalseBelief,baited,7,1,displacement,brown,9,m,border_collie,1,LL,VS
39,FalseBelief,empty,9,1,no_displacement,blue,1,f,border_collie,1,LL,VS
40,TrueBelief,baited,9,1,no_displacement,brown,9,f,border_collie,1,LL,VS
41,TrueBelief,baited,7,1,no_displacement,black,6,f,jack_russel_terrier,3,LL,VS
42,TrueBelief,empty,7,1,displacement,white,1,f,west_highland_white_terrier,3,LL,AE
43,FalseBelief,empty,7,1,no_displacement,black,10,f,parson_russell_terrier,3,LL,AE
44,TrueBelief,empty,9,0,displacement,black,0.58,m,parson_russell_terrier,3,LL,AE
45,FalseBelief,baited,7,1,no_displacement,brown,1,f,brazilian_terrier,3,LL,VS
46,FalseBelief,baited,7,1,displacement,white,2,m,jack_russel_terrier,3,LL,AE
47,TrueBelief,empty,7,1,no_displacement,blue,2,m,brazilian_terrier,3,LL,AE
48,TrueBelief,baited,7,1,displacement,brown,8,f,parson_russell_terrier,3,LL,VS
49,FalseBelief,baited,8,0,no_displacement,brown,2,f,parson_russell_terrier,3,LL,AE
50,TrueBelief,empty,9,1,no_displacement,brown,2,f,parson_russell_terrier,3,LL,VS
51,FalseBelief,baited,7,1,displacement,blue,5,f,parson_russell_terrier,3,LL,VS
52,TrueBelief,empty,9,1,displacement,white,6,m,yorkshire_terrier,3,LL,VS
53,TrueBelief,baited,7,1,no_displacement,white,2,m,yorkshire_terrier,3,LL,VS
54,FalseBelief,baited,7,1,displacement,black,6,f,yorkshire_terrier,3,VS,AE
55,TrueBelief,empty,7,1,displacement,black,6,f,parson_russell_terrier,3,LL,AE
56,FalseBelief,baited,7,1,no_displacement,white,0.58,m,jack_russel_terrier,3,LL,AE
57,FalseBelief,baited,7,1,no_displacement,blue,5,m,irish_glen_of_imaal_terrier,3,LL,VS
58,FalseBelief,baited,7,1,displacement,brown,3,f,irish_glen_of_imaal_terrier,3,LL,VS
59,FalseBelief,baited,7,1,displacement,blue,11,f,fox_terrier,3,LL,AE
60,TrueBelief,empty,7,1,no_displacement,blue,6,m,irish_soft_coated_weathen_terrier,3,LL,AE
61,FalseBelief,baited,7,1,displacement,blue,3,m,parson_russell_terrier,3,LL,VS
62,FalseBelief,baited,7,1,displacement,brown,3,f,irish_glen_of_imaal_terrier,3,LL,VS
63,TrueBelief,baited,7,1,no_displacement,brown,7,f,irish_glen_of_imaal_terrier,3,LL,VS
64,TrueBelief,empty,7,1,no_displacement,blue,10,f,irish_glen_of_imaal_terrier,3,LL,VS
65,TrueBelief,baited,9,1,displacement,black,3,m,jack_russel_terrier,3,LL,VS
66,FalseBelief,baited,9,1,no_displacement,brown,2,m,bedlington_terrier,3,LL,VS
67,TrueBelief,baited,7,1,displacement,blue,0.83,f,irish_glen_of_imaal_terrier,3,LL,VS
68,TrueBelief,baited,9,0,displacement,brown,1,m,parson_russell_terrier,3,LL,AE
69,FalseBelief,empty,7,1,no_displacement,blue,1,m,irish_terrier,3,LL,AE
70,FalseBelief,baited,7,1,displacement,brown,5,f,welsh_terrier,3,LL,AE
71,FalseBelief,empty,7,1,no_displacement,blue,4,f,parson_russell_terrier,3,LL,AE
72,TrueBelief,baited,7,1,no_displacement,white,2,f,jack_russel_terrier,3,LL,AE
73,TrueBelief,baited,7,1,displacement,brown,4,f,irish_terrier,3,LL,VS
74,TrueBelief,baited,7,1,no_displacement,blue,6,f,border_terrier,3,LL,AE
75,FalseBelief,empty,7,1,displacement,brown,9,m,border_terrier,3,LL,AE
76,FalseBelief,baited,9,1,no_displacement,black,0.5,m,japanese_terrier,3,LL,AE
77,TrueBelief,empty,9,1,no_displacement,black,6,m,border_terrier,3,LL,AE
78,TrueBelief,empty,7,1,no_displacement,brown,3,m,parson_russell_terrier,3,LL,VS
79,FalseBelief,baited,7,1,displacement,white,12,f,jack_russel_terrier,3,LL,VS
80,FalseBelief,baited,7,1,no_displacement,blue,0.58,m,manchester_terrier,3,LL,VS
