dog,condition,choice,test_trial_number,latency,first_trial_fam,first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider,correct
1,TrueBelief,baited,7,1.9,1,displacement,blue,7,f,collie,1,LL,GPL,1
2,TrueBelief,baited,7,1.21666667,1,displacement,brown,2,f,white_swiss_shepherd,1,LL,GPL,1
3,FalseBelief,baited,7,1.4,1,displacement,blue,3,m,white_swiss_shepherd,1,LL,GPL,1
4,TrueBelief,baited,7,15.56666663,1,no_displacement,brown,1,m,border_collie,1,LL,GPL,1
5,FalseBelief,baited,9,2.08333334,1,displacement,blue,2,m,australian_shepherd,1,LL,GPL,1
6,FalseBelief,baited,7,2.96666666,1,no_displacement,brown,5,m,golden_retriever,8,LL,GPL,1
7,FalseBelief,baited,7,60.1,1,displacement,blue,1,m,swiss_hound,6,LL,GPL,1
8,TrueBelief,baited,7,2.1,1,displacement,blue,1,f,labrador,8,LL,LB,1
9,FalseBelief,empty,9,1.58333333,1,no_displacement,brown,5,m,border_collie,1,LL,LB,0
10,FalseBelief,baited,7,1.45,1,no_displacement,brown,14,f,chesapeake_bay_retriever,8,LL,GPL,1
11,FalseBelief,empty,7,1.25,1,displacement,blue,10,m,chesapeake_bay_retriever,8,LL,GPL,0
12,TrueBelief,empty,7,0.96666666,1,no_displacement,brown,2,m,chesapeake_bay_retriever,8,LL,GPL,0
13,TrueBelief,baited,7,1.21666667,1,no_displacement,blue,6,m,australian_shepherd,1,LL,GPL,1
14,TrueBelief,empty,7,1.3,1,no_displacement,blue,3,f,border_collie,1,LL,GPL,0
15,TrueBelief,baited,7,2.28333333,1,no_displacement,blue,0.83,f,australian_shepherd,1,LL,GPL,1
16,FalseBelief,empty,7,1.48333333,1,displacement,brown,10,m,german_shepherd,1,LL,GPL,0
17,FalseBelief,baited,9,1.35,1,displacement,blue,3,m,collie,1,LL,EPA,1
18,TrueBelief,empty,9,1.31666667,1,displacement,brown,9,f,border_collie,1,LL,AH,0
19,TrueBelief,empty,7,2.43333333,1,no_displacement,blue,0.42,f,german_shepherd,1,LL,EPA,0
20,TrueBelief,empty,11,4.41666667,1,displacement,brown,5,m,belgian_shepherd,1,LL,EPA,0
21,FalseBelief,baited,7,2.08333333,1,displacement,brown,3,f,white_swiss_shepherd,1,LL,AH,1
