dog,condition,choice,test_trial_number,first_trial_fam..1.yes..followed.communicator.,first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider,correct
1,False_Belief,empty,9,1,no_displacement,blue,5,m,border_collie,1,LL,VS,1
2,True_Belief,baited,7,1,displacement,brown,4,f,border_collie,1,LL,VS,0
3,True_Belief,empty,7,1,displacement,blue,1,f,border_collie,1,LL,AE,1
4,False_Belief,empty,7,1,no_displacement,brown,5,f,border_collie,1,LL,AE,1
5,True_Belief,empty,7,1,displacement,brown,2,m,border_collie,1,LL,VS,1
6,True_Belief,baited,7,1,no_displacement,blue,3,f,border_collie,1,LL,VS,0
7,False_Belief,baited,7,1,displacement,brown,9,f,border_collie,1,LL,VS,0
8,False_Belief,empty,9,1,no_displacement,brown,2,f,border_collie,1,LL,VS,1
9,False_Belief,baited,9,1,displacement,blue,3,f,border_collie,1,LL,VS,0
10,True_Belief,baited,7,1,no_displacement,brown,7,m,border_collie,1,VS,AE,0
11,False_Belief,baited,7,1,displacement,blue,6,m,border_collie,1,LL,VS,0
12,False_Belief,empty,7,1,displacement,brown,0.5,f,border_collie,1,LL,VS,1
13,False_Belief,baited,7,1,no_displacement,blue,5,f,border_collie,1,LL,VS,0
14,True_Belief,baited,9,1,displacement,blue,0.42,f,border_collie,1,LL,VS,0
15,True_Belief,baited,7,1,no_displacement,brown,0.5,m,border_collie,1,LL,VS,0
16,True_Belief,empty,7,1,no_displacement,brown,11,f,border_collie,1,VS,AE,1
17,True_Belief,baited,7,1,no_displacement,blue,8,f,border_collie,1,LL,VS,0
18,False_Belief,empty,7,1,displacement,blue,1,m,border_collie,1,LL,VS,1
19,True_Belief,baited,7,1,no_displacement,blue,4,f,border_collie,1,LL,VS,0
20,False_Belief,baited,7,1,no_displacement,blue,5,m,border_collie,1,LL,VS,0
21,True_Belief,baited,9,0,displacement,brown,0.83,m,border_collie,1,LL,VS,0
22,True_Belief,baited,7,1,displacement,blue,1,f,border_collie,1,LL,VS,0
23,False_Belief,baited,7,1,displacement,brown,5,f,border_collie,1,LL,VS,0
24,False_Belief,empty,7,1,no_displacement,blue,7,f,border_collie,1,LL,AE,1
25,True_Belief,baited,9,1,displacement,brown,4,f,border_collie,1,LL,AE,0
26,True_Belief,empty,9,1,displacement,blue,8,f,border_collie,1,LL,AE,1
27,False_Belief,empty,7,1,displacement,brown,7,f,border_collie,1,LL,AE,1
28,True_Belief,baited,9,1,no_displacement,brown,3,f,border_collie,1,LL,AE,0
29,False_Belief,empty,9,1,no_displacement,brown,0.58,m,border_collie,1,LL,AE,1
30,True_Belief,baited,7,1,displacement,blue,1,m,border_collie,1,LL,VS,0
31,False_Belief,baited,7,1,no_displacement,blue,7,f,border_collie,1,LL,VS,0
32,False_Belief,empty,7,1,no_displacement,brown,2,m,border_collie,1,LL,VS,1
33,False_Belief,baited,7,1,displacement,brown,3,f,border_collie,1,LL,VS,0
34,True_Belief,empty,9,1,no_displacement,blue,3,m,border_collie,1,LL,VS,1
35,False_Belief,empty,9,1,displacement,blue,6,m,border_collie,1,LL,VS,1
36,True_Belief,baited,9,1,no_displacement,brown,7,m,border_collie,1,LL,AE,0
37,True_Belief,empty,7,1,no_displacement,blue,12,f,border_collie,1,LL,VS,1
38,False_Belief,baited,7,1,displacement,brown,9,m,border_collie,1,LL,VS,0
39,False_Belief,empty,9,1,no_displacement,blue,1,f,border_collie,1,LL,VS,1
40,True_Belief,baited,9,1,no_displacement,brown,9,f,border_collie,1,LL,VS,0
